absolute_relative_day,decoder,relative_corr
0,nn,0.0
0,rr,0.0
1,nn,-0.14301232408660183
1,rr,-0.10150259658074907
2,nn,-0.1710144112914157
2,rr,-0.12891428898172327
3,nn,-0.17275659615068598
3,rr,-0.13895812919248118
4,nn,-0.18480904164350498
4,rr,-0.14939826226697916
5,nn,-0.18226183909579616
5,rr,-0.14322925512122983
6,nn,-0.17833042747150568
6,rr,-0.14323221577648487
7,nn,-0.18692027419418725
7,rr,-0.1502041817348093
8,nn,-0.190859902347707
8,rr,-0.15201393053503923
9,nn,-0.2022803075456049
9,rr,-0.16686468877139196
10,nn,-0.20808494783165085
10,rr,-0.16567507444877103
11,nn,-0.2072290090267069
11,rr,-0.1716852484284541
12,nn,-0.1959884981700786
12,rr,-0.16491943380410834
13,nn,-0.20599666717843773
13,rr,-0.1741118370756022
14,nn,-0.20827013334261218
14,rr,-0.17550517746283822
15,nn,-0.21083527301865293
15,rr,-0.18127667261413363
16,nn,-0.21953195841094167
16,rr,-0.18728186013697698
17,nn,-0.2189709256166507
17,rr,-0.1880194875299144
18,nn,-0.21892002160460994
18,rr,-0.1889622730053507
19,nn,-0.22888445884278175
19,rr,-0.1923514487774789
20,nn,-0.22859953553202486
20,rr,-0.20029004771883654
21,nn,-0.22162175545241736
21,rr,-0.19405707733513886
22,nn,-0.22722365684478307
22,rr,-0.20133312471583723
23,nn,-0.23365440550994032
23,rr,-0.20101716437639972
24,nn,-0.23537853627222308
24,rr,-0.20581498117848634
25,nn,-0.23486027537344317
25,rr,-0.20297984601428654
26,nn,-0.23811024431136565
26,rr,-0.20897003866639952
27,nn,-0.2464609940052832
27,rr,-0.21459018410765943
28,nn,-0.2349779536905374
28,rr,-0.2119423856841225
29,nn,-0.2384200946639273
29,rr,-0.2164341881451356
30,nn,-0.25487463089859524
30,rr,-0.21681459854309976
31,nn,-0.24056004187650598
31,rr,-0.20635663367352458
32,nn,-0.24333201765455445
32,rr,-0.21218261552859446
33,nn,-0.23712033415806766
33,rr,-0.2049052851570497
34,nn,-0.24418230636031477
34,rr,-0.2134384577450719
35,nn,-0.24466708774805127
35,rr,-0.2119114160098524
36,nn,-0.2462689054636904
36,rr,-0.22061600123448002
37,nn,-0.2496973324182795
37,rr,-0.21324475447475938
38,nn,-0.25016247283298326
38,rr,-0.21869212260447946
39,nn,-0.24695914534692368
39,rr,-0.22098971979137735
40,nn,-0.2520481612432955
40,rr,-0.2169746850655153
41,nn,-0.24609917239091225
41,rr,-0.2213013363683153
42,nn,-0.2444799627895569
42,rr,-0.2159336842312971
43,nn,-0.24822948291856775
43,rr,-0.2181702984841388
44,nn,-0.24518908362805794
44,rr,-0.21898520984945338
45,nn,-0.24391417763744605
45,rr,-0.21684506136527945
46,nn,-0.24669552617826287
46,rr,-0.21872723490975232
47,nn,-0.240621287254
47,rr,-0.21359906007159268
48,nn,-0.23925012149944014
48,rr,-0.22204294577960526
49,nn,-0.2400059398724641
49,rr,-0.21732731821609153
50,nn,-0.24124701438121146
50,rr,-0.2189038278656506
51,nn,-0.243564394552903
51,rr,-0.22087270972809814
52,nn,-0.2634037744079538
52,rr,-0.234301523340749
53,nn,-0.25841121292749974
53,rr,-0.23449777165332586
54,nn,-0.25527796602430763
54,rr,-0.22197515751393246
55,nn,-0.25063805913178755
55,rr,-0.21969251533299655
56,nn,-0.24148059299417962
56,rr,-0.21613605652781903
57,nn,-0.2445853941861374
57,rr,-0.21996979001717207
58,nn,-0.251584813303637
58,rr,-0.22526191259262382
59,nn,-0.2669938273573865
59,rr,-0.24361265851645458
60,nn,-0.25255698646358327
60,rr,-0.23866122845714158
61,nn,-0.25340818200304105
61,rr,-0.22705074513646578
62,nn,-0.24443659705972484
62,rr,-0.22914567089824553
63,nn,-0.24962910090983453
63,rr,-0.23664697412635477
64,nn,-0.24846262481656278
64,rr,-0.23336668108200873
65,nn,-0.2548978083882479
65,rr,-0.23372564482675912
66,nn,-0.25944433860788524
66,rr,-0.24319656474533727
67,nn,-0.2586542840011093
67,rr,-0.23846114927640832
68,nn,-0.2538669493658204
68,rr,-0.24093115235921914
69,nn,-0.2527940374273106
69,rr,-0.2453583162668573
70,nn,-0.25838209768737513
70,rr,-0.24277182315897622
71,nn,-0.2608540797994227
71,rr,-0.24962880314010832
72,nn,-0.26833234154428204
72,rr,-0.24509167585993338
73,nn,-0.2769155820565763
73,rr,-0.2559310473992763
74,nn,-0.2718768476002372
74,rr,-0.24336812153051487
75,nn,-0.25925468853512046
75,rr,-0.23233398571364156
76,nn,-0.25767773514565595
76,rr,-0.23956785900946867
77,nn,-0.26744527912387794
77,rr,-0.24759416834502648
78,nn,-0.26911342772551405
78,rr,-0.251470239138451
79,nn,-0.27947320073245013
79,rr,-0.24883698768809676
80,nn,-0.27411471961977363
80,rr,-0.25582794599396524
81,nn,-0.2668407682293183
81,rr,-0.2477177325381099
82,nn,-0.26373241148279064
82,rr,-0.2444995567830928
83,nn,-0.2637290186285497
83,rr,-0.24526620946062994
84,nn,-0.25916062865954553
84,rr,-0.24351088892676753
85,nn,-0.271922872536727
85,rr,-0.25597804896836246
86,nn,-0.2771840795316652
86,rr,-0.2557316722134121
87,nn,-0.2724629744747855
87,rr,-0.2585814937111538
88,nn,-0.2648669391947543
88,rr,-0.2448735159841722
89,nn,-0.2695387919705796
89,rr,-0.24259235422258899
90,nn,-0.2645341484063878
90,rr,-0.24689835351025172
91,nn,-0.2659963826301069
91,rr,-0.246391092393225
92,nn,-0.2704005611374457
92,rr,-0.24844549475741382
93,nn,-0.2728251702443655
93,rr,-0.2518565461137299
94,nn,-0.27357736479729355
94,rr,-0.2567651217778565
95,nn,-0.2727198513204621
95,rr,-0.2570603118372217
96,nn,-0.26144082329936447
96,rr,-0.24232170600900632
97,nn,-0.2697770302237253
97,rr,-0.2522245758758808
98,nn,-0.27022065230056697
98,rr,-0.25868075149012065
99,nn,-0.2653715690595755
99,rr,-0.24349193197167593
100,nn,-0.2716799128044281
100,rr,-0.25076567417651524
